iter	Passed	Remaining
345	19	36
346	19	36
347	19	36
348	19	36
349	19	36
350	19	35
351	19	35
352	19	35
353	19	35
354	19	35
355	19	35
356	19	35
357	19	35
358	19	35
359	19	35
360	19	34
361	19	34
362	19	34
363	19	34
364	19	34
365	19	34
366	19	34
367	19	34
368	19	34
369	20	34
370	20	33
371	20	33
372	20	33
373	20	33
374	20	33
375	20	33
376	20	33
377	20	33
378	20	33
379	20	33
380	20	33
381	20	33
382	20	32
383	20	32
384	20	32
385	20	32
386	20	32
387	20	32
388	20	32
389	20	32
390	20	32
391	20	32
392	20	32
393	21	32
394	21	32
395	21	32
396	21	32
397	21	32
398	21	32
399	21	32
400	22	33
401	22	33
402	22	32
403	22	32
404	22	32
405	22	32
406	22	32
407	22	32
408	22	32
409	22	32
410	22	32
411	22	32
412	22	32
413	22	32
414	22	32
415	22	32
416	22	32
417	22	32
418	23	31
419	23	31
420	23	31
421	23	31
422	23	31
423	23	31
424	23	31
425	23	31
426	23	31
427	23	31
428	23	31
429	23	31
430	23	31
431	23	31
432	23	31
433	23	31
434	23	31
435	23	30
436	23	30
437	23	30
438	24	30
439	24	30
440	24	30
441	24	30
442	24	30
443	24	30
444	24	30
445	24	30
446	24	30
447	24	29
448	24	29
449	24	29
450	24	29
451	24	29
452	24	29
453	24	29
454	24	29
455	24	29
456	24	29
457	24	29
458	24	29
459	24	29
460	24	28
461	24	28
462	24	28
463	24	28
464	24	28
465	24	28
466	25	28
467	25	28
468	25	28
469	25	28
470	25	28
471	25	28
472	25	28
473	25	28
474	25	28
475	25	28
476	25	28
477	26	28
478	26	28
479	26	28
480	26	28
481	26	28
482	26	28
483	26	28
484	26	27
485	26	27
486	26	27
487	26	27
488	26	27
489	26	27
490	26	27
491	26	27
492	26	27
493	26	27
494	26	27
495	26	27
496	26	27
497	26	27
498	26	26
499	26	26
500	26	26
501	26	26
502	26	26
503	27	26
504	27	26
505	27	26
506	27	26
507	27	26
508	27	26
509	27	26
510	27	26
511	27	26
512	27	26
513	27	25
514	27	25
515	27	25
516	27	25
517	27	25
518	27	25
519	27	25
520	27	25
521	27	25
522	27	25
523	27	25
524	27	25
525	27	25
526	27	25
527	28	25
528	28	24
529	28	24
530	28	24
531	28	24
532	28	24
533	28	24
534	28	24
535	28	24
536	28	24
537	28	24
538	28	24
539	28	24
540	28	24
541	28	24
542	28	24
543	28	24
544	28	24
545	28	24
546	29	24
547	29	24
548	29	23
549	29	23
550	29	23
551	29	23
552	29	23
553	29	23
554	29	23
555	29	23
556	29	23
557	29	23
558	29	23
559	29	23
560	29	23
561	29	23
562	29	23
563	29	23
564	29	23
565	29	22
566	29	22
567	30	22
568	30	22
569	30	22
570	30	22
571	30	22
572	30	22
573	30	22
574	30	22
575	30	22
576	30	22
577	30	22
578	30	22
579	30	22
580	30	22
581	30	22
582	30	22
583	30	22
584	30	21
585	30	21
586	31	21
587	31	21
588	31	21
589	31	21
590	31	21
591	31	21
592	31	21
593	31	21
594	31	21
595	31	21
596	31	21
597	31	21
598	31	21
599	31	21
600	31	21
601	31	21
602	31	20
603	31	20
604	31	20
605	32	20
606	32	20
607	32	20
608	32	20
609	32	20
610	32	20
611	32	20
612	32	20
613	32	20
614	32	20
615	32	20
616	32	20
617	32	20
618	32	20
619	32	19
620	32	19
621	32	19
622	32	19
623	32	19
624	32	19
625	32	19
626	32	19
627	32	19
628	32	19
629	32	19
630	32	19
631	32	19
632	32	19
633	32	19
634	33	18
635	33	18
636	33	18
637	33	18
638	33	18
639	33	18
640	33	18
641	33	18
642	33	18
643	33	18
644	33	18
645	33	18
646	33	18
647	33	18
648	33	18
649	34	18
650	34	18
651	34	18
652	34	18
653	34	18
654	34	18
655	34	18
656	34	18
657	34	18
658	34	18
659	35	18
660	35	18
661	35	17
662	35	17
663	35	17
664	35	17
665	35	17
666	35	17
667	35	17
668	35	17
669	35	17
670	35	17
671	35	17
672	35	17
673	36	17
674	36	17
675	36	17
676	36	17
677	36	17
678	36	17
679	36	17
680	36	17
681	36	16
682	36	16
683	36	16
684	36	16
685	36	16
686	36	16
687	36	16
688	36	16
689	36	16
690	36	16
691	36	16
692	36	16
693	36	16
694	36	16
695	36	16
696	37	16
697	37	16
698	37	16
699	37	15
700	37	15
701	37	15
702	37	15
703	37	15
704	37	15
705	37	15
706	37	15
707	37	15
708	37	15
709	37	15
710	37	15
711	38	15
712	38	15
713	38	15
714	38	15
715	38	15
716	38	15
717	38	15
718	38	14
719	38	14
720	38	14
721	38	14
722	38	14
723	38	14
724	38	14
725	38	14
726	38	14
727	38	14
728	38	14
729	38	14
730	38	14
731	38	14
732	39	14
733	40	14
734	40	14
735	40	14
736	40	14
737	40	14
738	40	14
739	40	14
740	40	14
741	40	14
742	40	14
743	40	14
744	40	14
745	41	13
746	41	13
747	41	13
748	41	13
749	41	13
750	41	13
751	41	13
752	41	13
753	41	13
754	41	13
755	41	13
756	41	13
757	41	13
758	41	13
759	41	13
760	41	13
761	41	12
762	41	12
763	41	12
764	41	12
765	42	12
766	42	12
767	42	12
768	42	12
769	42	12
770	42	12
771	42	12
772	42	12
773	42	12
774	42	12
775	42	12
776	42	12
777	42	12
778	42	12
779	42	11
780	42	11
781	42	11
782	42	11
783	42	11
784	42	11
785	43	11
786	43	11
787	43	11
788	43	11
789	43	11
790	43	11
791	43	11
792	43	11
793	43	11
794	43	11
795	43	11
796	43	11
797	43	11
798	43	11
799	43	10
800	44	10
801	44	10
802	44	10
803	44	10
804	44	10
805	44	10
806	44	10
807	44	10
808	44	10
809	44	10
810	44	10
811	44	10
812	44	10
813	45	10
814	45	10
815	45	10
816	45	10
817	45	10
818	45	10
819	45	10
820	45	9
821	45	9
822	45	9
823	45	9
824	45	9
825	45	9
826	45	9
827	45	9
828	46	9
829	46	9
830	46	9
831	46	9
832	46	9
833	46	9
834	46	9
835	46	9
836	46	9
837	46	8
838	46	8
839	46	8
840	46	8
841	46	8
842	46	8
843	46	8
844	46	8
845	46	8
846	46	8
847	46	8
848	46	8
849	46	8
850	46	8
851	46	8
852	46	8
853	46	8
854	46	7
855	46	7
856	47	7
857	47	7
858	47	7
859	47	7
860	47	7
861	47	7
862	47	7
863	47	7
864	47	7
865	47	7
866	47	7
867	47	7
868	47	7
869	47	7
870	47	7
871	47	6
872	47	6
873	47	6
874	47	6
875	47	6
876	47	6
877	47	6
878	47	6
879	47	6
880	47	6
881	47	6
882	47	6
883	47	6
884	47	6
885	48	6
886	48	6
887	48	6
888	48	6
889	48	5
890	48	5
891	48	5
892	48	5
893	48	5
894	48	5
895	48	5
896	48	5
897	48	5
898	48	5
899	48	5
900	48	5
901	48	5
902	48	5
903	48	5
904	48	5
905	48	5
906	48	4
907	48	4
908	48	4
909	48	4
910	48	4
911	48	4
912	48	4
913	48	4
914	48	4
915	48	4
916	48	4
917	48	4
918	48	4
919	48	4
920	48	4
921	48	4
922	48	4
923	49	4
924	49	3
925	49	3
926	49	3
927	49	3
928	49	3
929	49	3
930	49	3
931	49	3
932	49	3
933	49	3
934	49	3
935	49	3
936	49	3
937	49	3
938	49	3
939	49	3
940	50	3
941	50	3
942	50	3
943	50	2
944	50	2
945	50	2
946	50	2
947	50	2
948	50	2
949	50	2
950	50	2
951	50	2
952	50	2
953	50	2
954	50	2
955	50	2
956	50	2
957	50	2
958	50	2
959	50	2
960	50	2
961	50	2
962	51	1
963	51	1
964	51	1
965	51	1
966	51	1
967	51	1
968	51	1
969	51	1
970	51	1
971	51	1
972	51	1
973	51	1
974	51	1
975	51	1
976	51	1
977	51	1
978	51	1
979	51	1
980	51	0
981	51	0
982	51	0
983	51	0
984	51	0
985	51	0
986	51	0
987	51	0
988	51	0
989	51	0
990	51	0
991	51	0
992	51	0
993	51	0
994	51	0
995	51	0
996	52	0
997	52	0
998	52	0
999	52	0
