iter	Passed	Remaining
0	0	465
1	0	246
2	0	179
3	0	139
4	0	117
5	0	104
6	0	102
7	0	91
8	0	85
9	0	79
10	0	74
11	0	69
12	0	65
13	0	64
14	0	61
15	1	66
16	1	65
17	1	63
18	1	64
19	1	63
20	1	61
21	1	60
22	1	58
23	1	59
24	1	57
25	1	56
26	1	56
27	1	54
28	1	59
29	1	60
30	1	60
31	2	60
32	2	60
33	2	60
34	2	60
35	2	60
36	2	60
37	2	60
38	2	60
39	2	61
40	2	61
41	2	61
42	2	61
43	2	63
44	2	62
45	2	61
46	2	60
47	3	60
48	3	60
49	3	59
50	3	58
51	3	57
52	3	56
53	3	56
54	3	55
55	3	55
56	3	54
57	3	55
58	3	54
59	3	54
60	3	53
61	3	53
62	3	52
63	3	52
64	3	52
65	3	51
66	3	50
67	3	50
68	3	50
69	3	49
70	3	49
71	3	48
72	3	48
73	3	48
74	3	47
75	3	47
76	3	47
77	4	47
78	4	48
79	4	48
80	4	48
81	4	48
82	4	48
83	4	48
84	4	48
85	4	48
86	4	48
87	4	47
88	4	47
89	4	48
90	4	48
91	4	48
92	4	48
93	5	48
94	5	48
95	5	49
96	5	49
97	5	49
98	5	49
99	5	49
100	5	49
101	5	49
102	5	49
103	5	49
104	5	49
105	5	49
106	5	48
107	5	48
108	5	48
109	5	48
110	5	47
111	5	47
112	6	47
113	6	46
114	6	46
115	6	46
116	6	45
117	6	45
118	6	45
119	6	45
120	6	44
121	6	44
122	6	44
123	6	44
124	6	43
125	6	43
126	6	43
127	6	43
128	6	43
129	6	43
130	6	44
131	6	43
132	6	43
133	6	43
134	6	43
135	6	43
136	6	42
137	6	42
138	6	42
139	6	42
140	6	41
141	6	41
142	6	41
143	7	42
144	7	42
145	7	42
146	7	42
147	7	42
148	7	41
149	7	41
150	7	41
151	7	41
152	7	42
153	7	42
154	7	42
155	7	43
156	8	43
157	8	43
158	8	42
159	8	43
160	8	43
161	8	43
162	8	43
163	8	43
164	8	43
165	8	43
166	8	43
167	8	43
168	8	43
169	8	43
170	8	43
171	8	43
172	8	43
173	9	42
174	9	42
175	9	42
176	9	42
177	9	42
178	9	42
179	9	41
180	9	41
181	9	41
182	9	41
183	11	50
184	11	50
185	11	51
186	11	50
187	11	50
188	11	50
189	11	50
190	11	50
191	12	50
192	12	50
193	12	50
194	12	50
195	12	50
196	12	50
197	12	50
198	12	50
199	12	50
200	12	50
201	12	50
202	12	50
203	12	50
204	12	50
205	12	50
206	13	49
207	13	49
208	13	49
209	13	49
210	13	49
211	13	48
212	13	48
213	13	48
214	13	48
215	13	48
216	13	48
217	13	48
218	13	48
219	13	48
220	13	48
221	13	48
222	13	48
223	13	48
224	13	47
225	14	48
226	14	48
227	14	48
228	14	48
229	14	48
230	14	48
231	14	47
232	14	47
233	14	47
234	14	47
235	14	47
236	14	47
237	14	47
238	14	46
239	14	46
240	14	46
241	14	46
242	14	46
243	14	46
244	14	46
245	14	45
246	15	45
247	15	45
248	15	45
249	15	45
250	15	45
251	15	45
252	15	44
253	15	44
254	15	44
255	15	44
256	15	44
257	15	44
258	15	44
259	15	44
260	15	44
261	15	44
262	15	43
263	15	43
264	15	43
265	15	43
266	15	43
267	15	43
268	15	43
269	15	43
270	15	42
271	15	42
272	16	42
273	16	42
274	16	42
275	16	42
276	16	42
277	16	42
278	16	42
279	16	42
280	16	42
281	16	42
282	16	42
283	16	42
284	16	42
285	16	42
286	16	42
287	16	41
288	16	41
289	17	41
290	17	41
291	17	41
292	17	41
293	17	41
294	17	41
295	17	40
296	17	40
297	17	40
298	17	40
299	17	40
300	17	40
301	17	40
302	17	40
303	17	40
304	17	39
305	17	39
306	17	39
307	17	39
308	17	39
309	17	39
310	17	39
311	17	39
312	17	39
313	17	39
314	17	38
315	18	39
316	18	39
317	18	39
318	18	38
319	18	38
320	18	38
321	18	38
322	18	38
323	18	38
324	18	38
325	18	38
326	18	38
327	18	38
328	18	37
329	18	37
330	18	37
331	18	37
332	18	37
333	18	37
334	18	37
335	18	37
336	18	37
337	18	36
338	18	36
339	19	36
340	19	36
341	19	36
342	19	36
343	19	36
344	19	36
