ano,dimensao,localidade,populacao_branca,populacao_negra,populacao_amarela,populacao_parda,populacao_indigena,populacao_sem_declaracao,populacao_total,populacao_branca_porcentagem,populacao_negra_porcentagem,populacao_amarela_porcentagem,populacao_parda_porcentagem,populacao_indigena_porcentagem,populacao_sem_declaracao_porcentagem
2010,Unidade da Federação,Bahia,1416231,1257376,78033,3777089,26666,0,6555397,21.6,19.18,1.19,57.62,0.41,0.0
2010,Unidade da Federação,Minas Gerais,4527174,1004138,99900,4293248,15226,45,9939731,45.55,10.1,1.01,43.19,0.15,0.0
2010,Unidade da Federação,Espírito Santo,785941,168767,12260,855267,5199,0,1827434,43.01,9.24,0.67,46.8,0.28,0.0
2010,Unidade da Federação,Rio de Janeiro,3705907,1027644,61912,3010166,9002,95,7814727,47.42,13.15,0.79,38.52,0.12,0.0
2010,Unidade da Federação,São Paulo,13706878,1322566,307083,6277110,26099,41,21639776,63.34,6.11,1.42,29.01,0.12,0.0
2010,Unidade da Federação,Paraná,3932882,195982,67032,1380553,11514,0,5587963,70.38,3.51,1.2,24.71,0.21,0.0
2010,Unidade da Federação,Santa Catarina,2993015,105276,14813,422378,7736,0,3543218,84.47,2.97,0.42,11.92,0.22,0.0
2010,Unidade da Federação,Rio Grande do Sul,4900565,313561,19370,571704,13351,34,5818585,84.22,5.39,0.33,9.83,0.23,0.0
2010,Unidade da Federação,Mato Grosso do Sul,598609,72722,15840,551750,19789,0,1258710,47.56,5.78,1.26,43.83,1.57,0.0
2010,Unidade da Federação,Mato Grosso,596556,131222,19135,787210,11395,0,1545518,38.6,8.49,1.24,50.94,0.74,0.0
2010,Unidade da Federação,Goiás,1299904,232175,56025,1565193,4943,13,3158254,41.16,7.35,1.77,49.56,0.16,0.0
2010,Unidade da Federação,Distrito Federal,579838,121401,24868,672191,4049,0,1402349,41.35,8.66,1.77,47.93,0.29,0.0
